# ADD TO THE TOP OF THE FILE PLEASE!!!
#
#   If you have a source update, list the package name as we've done before.
#   If you have a binary update, prepend "bin/" to your package name.  
#   If you have a .gar update, append ".gar". to your package name.
#
# YYYY-MM-DD;Package_Name-Version.Version;Toolkit Version;Type (bug sec enh);Description
2007-02-09;globus_gss_assist-3.11;3.2.1;security;Escaped double quotes in gridmap entry not handled correctly (bug 4979). Thanks to David Groep (NIKHEF, Amsterdam) for reporting this and for providing the patch.
2007-01-29;globus_gass_transfer-2.12;4.0.3;bug;Fix transfer failure in some cases (bug 4975)
2006-11-06;globus_globusrun_ws-0.14,globus_c_ws_messaging-2.8;4.0.3;bug;Fix occasional crash in globusrun-ws during module deactivation (bug 4732)
2006-11-02;globus_wsrf_servicegroup-0.56;4.0.3;bug;Fix defective getRemoteTime function in ServiceGroupRegistrationClient (bug 4741)
2006-11-01;globus_scheduler_event_generator_condor-0.7,globus_scheduler_event_generator_fork-0.9,globus_scheduler_event_generator_lsf-0.11,globus_scheduler_event_generator_pbs-0.11;4.0.3;bug;Fix memory leak (bug 4777)
2006-10-23;globus_gass_transfer-2.11;4.0.3;bug;Fix infinite loop (bug 4794)
2006-10-06;globus_fork_starter-0.3;4.0.3;bug;Fix uninitialized executable arguments when none are specified for fork job (bug 4706)
2006-09-22;globus_gram_protocol-6.5;4.0.3;bug;Fix pre-ws GRAM client crash when updating and refreshing credentials (bug 4620)
2006-09-22;globus_xio-0.35;4.0.3;bug;Fix uninitialized read at EOF (bug 4726)
2006-09-15;globus_js-0.5;4.0.3;bug;Improve compiler bug detection for js (bug 4315)
2006-07-06;globus_gass_copy-3.21;4.0.3;bug;Fix possible crashes with globus-url-copy when using the -cd option with multiple file: destination urls. (bug 4571)
2006-08-15;myproxy-3.6;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648).
2006-08-15;globus_rls_server-4.2;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648).  Because this package is optional, it is not included in the GT4 update bundle.
2006-08-15;gt4_pthr_update-1.0-src_bundle;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648).  Install with -force in the same flavors as globus_gsi_cert_utils.  This contains all the threaded packages to fix bug 4647/4648 bugfixes listed below, and is provided for convenience of download/installation.
2006-08-15;gt4_update-1.0-src_bundle;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648).  Install with -force in the same flavors as globus_c_wsrf_core_tools.  This single update contains all the unthreaded packages to fix bug 4647/4648 bugfixes listed below, and is provided for convenience of download/installation.
2006-08-15;globus_c_wsrf_core_tools-0.6;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_gsi_cert_utils-2.6;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_gsi_sysconfig-1.20;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_java_ws_core_common-0.15;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_simple_ca_setup-0.28;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_utp-1.3;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_wsrf_cas_client_java-0.3;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_wsrf_gram_scheduler_test-0.20;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_wsrf_rft_service_java-0.32;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_c_rendezvous_client_bindings-1.3;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_gram_job_manager-6.8;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_gsi_credential-1.9;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_wsrf_mds_trigger-0.30;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_c_wsrf_core_performance_test-0.6;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_c_wsrf_core_test_interop_client_test-0.6;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_c_wsrf_notification_test-0.7;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_c_wsrf_provider_test-0.3;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_c_wsrf_rendezvous_test-0.5;4.0.2;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;cas-1.1;3.2.1;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;core-0.9;3.2.1;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_gram_job_manager-5.4;3.2.1;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_gsi_cert_utils-1.8;3.2.1;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_gsi_credential-1.4;3.2.1;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_gsi_sysconfig-1.14;3.2.1;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_rls_server-2.3;3.2.1;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;globus_simple_ca_setup-0.18;3.2.1;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;gt3_hostinfo-2.3;3.2.1;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;rft-0.6;3.2.1;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-08-15;rips_condor_provider_setup-0.2;3.2.1;security;Avoid insecure tmpfile creation (bug 4647 and bug 4648)
2006-03-01;globus_libxml2-0.13;4.0.1;bug;Fix xsd:include attributes (bug 4086)
2006-02-08;globus_gsi_sysconfig-1.19;4.0.1;bug;Fix memory corruption when determining user info on certain platforms. (bug 3902)
2006-01-10;globus_gass_transfer-2.10;4.0.1;bug;Fix memory corruption when GLOBUS_HOSTNAME is invalid. (bug 4149)
2005-12-01;globus_usage-0.5;4.0.1;bug;Fix possible memory corruption when failing to discover the local ip address. (bug 3392)
2005-12-01;globus_gass_copy-3.20;4.0.1;bug;Fixes bug in the -cd option where it would only create the top level destination directory (bug 3769).  Fixes failed recursive transfers when encountering filenames that contain url-invalid characters (bug 1858).
2005-11-29;globus_simple_ca_setup-0.27;4.0.1;bug;Fixes HP-UX setup and  pkg_data_src.gpt.tmpl errors (bug 3702 bug 3567 bug 3958)
2005-11-29;globus_simple_ca-0.15;4.0.1;bug;Fix some bash-isms(bug 3958)
2005-11-22;globus_ftp_client-3.3;4.0.1;bug;Fixes possible memory corruption issues when using the restart plugin and performing multiple ftp operations on the same handle. (bug 3919)
2005-11-01;globus_scheduler_event_generator_pbs-0.4;4.0.1;bug;Fixes PBS scheduler event generator parsing issues (bug 3699 bug 3777)
2005-09-20;globus_xio-0.32;4.0.1;bug;XIO HTTP driver can crash if content length exceeds Content-Length buffer size (bug 3733)
2005-08-16;globus_gram_job_manager_setup_condor-2.6;4.0.1;bug;Cancelling multiple process condor jobs (bug 3642)
2005-08-09;globus_xio-0.13;3.2.1;bug;Fix client authz issues with round-robin dns names (bug 3628), fix hangs with gsi driver and large reads (bug 1871)
2005-06-15;globus-information-services-client-4.0,globus-information-services-server-4.0;4.0.0;bug;Fixes MDS2 vulnerabilities affecting GT 4.0.x (bug 2065). For more information click <a href="http://www.globus.org/toolkit/mds/patch_for_mds2_in_gt40.html">here</a>.
2005-06-01;globus_scheduler_event_generator_pbs-0.3;4.0.0;bug;Fix bug: SEG looks for log files with strange dates such as May 32nd (bug 3477)
2005-05-18;globus_rls_client-3.1;3.2.1;bug;Fixes several stability related bugs (bug 1532, bug 1769, bug 1819, bug 2832, bug 2833, bug 3010)
2005-05-18;globus_rls_server-3.1;3.2.1;bug;Fixes several stability related bugs (bug 1532, bug 1769, bug 1819, bug 2832, bug 2833, bug 3010)
2005-05-18;globus_rls_server_setup-3.1;3.2.1;bug;Fixes several stability related bugs (bug 1532, bug 1769, bug 1819, bug 2832, bug 2833, bug 3010)
2005-05-18;wsmds-security-update-bundle-4.0.0,wsmds-security-update-gars-4.0.0;4.0.0;sec;MDS4 Index and Trigger Service security vulnerabilities affecting GT 4.0.0 and 3.9.x (bug 3367)
#2005-05-18;;3.2.1;sec;MDS3 Index Service security vulnerabilities affecting GT 3.2.0 and 3.2.1 (bug 3368)
2005-05-10;globus_wsrf_gram_service_java-0.57,globus_wsrf_gram_service_java_setup_common-0.8;4.0.0;bug;WS-GRAM setup sets incorrect default scratchDirectory property (bug 3301) when using ant 1.6.2.
2005-05-10;globus_c_wsrf_core_tools-0.3;4.0.0;bug;Incorrect initialization of EPR in globus_wsrf_core_create_endpoint_reference() may cause crash (bug 3322)
2005-05-05;globus_scheduler_event_generator_pbs-0.2;4.0.0;bug;Fix compile error on Solaris (bug 3252)
2005-05-05;globus_xio-0.29;4.0.0;bug;Fix error when writev called with more than IOV_MAX buffers (bug 3291, bug 3292)
2005-03-28;globus_xio-0.12;3.2.1;bug;Fix leaked fds on canceled or timedout connects, bug 3028
2004-09-17;globus_xio-0.11;3.2.1;bug;Fix possible hang with timeouts on open
2004-09-07;globus_xio-0.10;3.2.1;bug;Fix timeout handling in register accept()
2004-08-12;globus_io-5.5;3.2.1;bug;Fix callback space handling (for mpich-g2)
2004-08-12;globus_nexus-6.5;3.2.1;bug;Fix bugs triggered by IO over XIO (for mpich-g2)
2004-08-10;globus_ftp_client-2.9;3.2.1;bug;Fix possible hang with mode e put and failed pasv from server.
2004-07-28;globus_gram_client_tools-4.3;3.2.1;bug;Fixes bug 1745 (batch execution broken).
2004-07-23;globus_ftp_client-2.8;3.2.1;bug;Fixes bug 1501.
2004-06-30;globus_xio-0.9;3.2.0;bug;bug 1778, fix xio handle leak (requires globus_common-4.10)
2004-06-11;core-sec-update-0.1;3.0.2;sec;Fixes bug 1774.
2004-06-11;globus_gss_assist-3.10,globus_gssapi_gsi-3.24,globus_io-5.4,globus_xio-0.8,gssapi_error-2.4,core-sec-update-1.0;3.2.0;sec;Fixes bug 1774. Note that the updated GSSAPI package will now require that a target name is specified when doing delegation. 
2004-06-01;globus_xio-0.7;3.2.0;bug;fix uninitialized mutex in server_create() (requires globus_common-4.10)
2004-05-12;globus_openldap-0.9ia64;2.4.3;bug;Fix for bug 1688
2004-05-12;globus_openldap-0.9;2.4.3;bug;Fix for bug 1688
2004-05-11;globus_openssl-1.11;3.2.0;bug;Fix for core dump in smime utility (bug 1727)
2004-05-11;globus_openssl-1.10;3.2.0;bug;Fix for AIX 64 bit build issue (bug 1708)
2004-05-11;globus_openssl-1.9;3.2.0;bug;Fix for IRIX build issue (bug 1685)
2004-05-11;globus_ftp_control-1.11;2.4.3;bug;Another fix for round-robin DNS setups (bug 318)
2004-04-30;rft-0.4;3.0.2;bug;Fixess bug 1368
2004-04-21;globus_core-2.21,globus_gss_assist-3.6;3.0.2;bug;Fixes bug 1239
2004-04-13;mmjfs-0.6;3.0.2;bug;Fixes bug 1074, bug 1223,bug 1247,bug 1441
2004-04-13;mjs-1.2;3.0.2;bug;Fixes bug 1074,bug 1223,bug 1247,bug 1441
2004-04-12;bin/globus_cas-1.1.gar;3.2.0;bug; Fixes issues with binary install of CAS. 
2004-04-11;globus_common-4.10;3.2.0;bug;Deal with socklet_t for aix issues.
2004-04-11;globus_io-5.3;3.2.0;bug;globus_io_tcp_[register_]connect with port > 32k fails.
2004-04-02;globus_common-4.9;3.2.0;bug;bug 1684, globus_libc_getnameinfo() always fails on IRIX 6.5
2004-03-18;globus_openssl-0.20;3.0.2;sec;Upgrades OpenSSL version to 0.9.6m
